Index,Bacteria/Host species,Download link
Bacteria,Bilophila wadsworthia,wget https://gmpsdb.cn/api/download/bacteria/5016/download/ -O BACTERIA_Bilophila_wadsworthia.tar.gz
Bacteria,Blautia faecicola,wget https://gmpsdb.cn/api/download/bacteria/5017/download/ -O BACTERIA_Blautia_faecicola.tar.gz
Bacteria,Blautia faecis,wget https://gmpsdb.cn/api/download/bacteria/5018/download/ -O BACTERIA_Blautia_faecis.tar.gz
Bacteria,Blautia hansenii,wget https://gmpsdb.cn/api/download/bacteria/5019/download/ -O BACTERIA_Blautia_hansenii.tar.gz
Bacteria,Blautia hominis,wget https://gmpsdb.cn/api/download/bacteria/5020/download/ -O BACTERIA_Blautia_hominis.tar.gz
Bacteria,Blautia hydrogenotrophica,wget https://gmpsdb.cn/api/download/bacteria/5021/download/ -O BACTERIA_Blautia_hydrogenotrophica.tar.gz
Bacteria,Blautia luti,wget https://gmpsdb.cn/api/download/bacteria/5022/download/ -O BACTERIA_Blautia_luti.tar.gz
Bacteria,Blautia obeum,wget https://gmpsdb.cn/api/download/bacteria/5023/download/ -O BACTERIA_Blautia_obeum.tar.gz
Bacteria,Blautia producta,wget https://gmpsdb.cn/api/download/bacteria/5024/download/ -O BACTERIA_Blautia_producta.tar.gz
Bacteria,Blautia sp. AM28-10,wget https://gmpsdb.cn/api/download/bacteria/5025/download/ -O BACTERIA_Blautia_sp._AM28-10.tar.gz
Bacteria,Blautia sp. KLE_1732_HM_1032,wget https://gmpsdb.cn/api/download/bacteria/5026/download/ -O BACTERIA_Blautia_sp._KLE_1732_HM_1032.tar.gz
Bacteria,Blautia wexlerae,wget https://gmpsdb.cn/api/download/bacteria/5027/download/ -O BACTERIA_Blautia_wexlerae.tar.gz
Bacteria,Bordetella hinzii,wget https://gmpsdb.cn/api/download/bacteria/5028/download/ -O BACTERIA_Bordetella_hinzii.tar.gz
Bacteria,Brachybacterium paraconglomeratum,wget https://gmpsdb.cn/api/download/bacteria/5029/download/ -O BACTERIA_Brachybacterium_paraconglomeratum.tar.gz
Bacteria,Brachyspira pilosicoli,wget https://gmpsdb.cn/api/download/bacteria/5030/download/ -O BACTERIA_Brachyspira_pilosicoli.tar.gz
Bacteria,Bradyrhizobium elkanii,wget https://gmpsdb.cn/api/download/bacteria/5031/download/ -O BACTERIA_Bradyrhizobium_elkanii.tar.gz
Bacteria,Bradyrhizobium japonicum,wget https://gmpsdb.cn/api/download/bacteria/5032/download/ -O BACTERIA_Bradyrhizobium_japonicum.tar.gz
Bacteria,Brevibacillus agri,wget https://gmpsdb.cn/api/download/bacteria/5033/download/ -O BACTERIA_Brevibacillus_agri.tar.gz
Bacteria,Brevibacillus borstelensis,wget https://gmpsdb.cn/api/download/bacteria/5034/download/ -O BACTERIA_Brevibacillus_borstelensis.tar.gz
Bacteria,Brevibacillus brevis,wget https://gmpsdb.cn/api/download/bacteria/5035/download/ -O BACTERIA_Brevibacillus_brevis.tar.gz
Bacteria,Brevibacillus massiliensis,wget https://gmpsdb.cn/api/download/bacteria/5036/download/ -O BACTERIA_Brevibacillus_massiliensis.tar.gz
Bacteria,Brevibacterium casei,wget https://gmpsdb.cn/api/download/bacteria/5037/download/ -O BACTERIA_Brevibacterium_casei.tar.gz
Bacteria,Brevibacterium senegalense,wget https://gmpsdb.cn/api/download/bacteria/5038/download/ -O BACTERIA_Brevibacterium_senegalense.tar.gz
Bacteria,Brevundimonas bacteroides,wget https://gmpsdb.cn/api/download/bacteria/5039/download/ -O BACTERIA_Brevundimonas_bacteroides.tar.gz
Bacteria,Brevundimonas diminuta,wget https://gmpsdb.cn/api/download/bacteria/5040/download/ -O BACTERIA_Brevundimonas_diminuta.tar.gz
Bacteria,Brochothrix thermosphacta,wget https://gmpsdb.cn/api/download/bacteria/5041/download/ -O BACTERIA_Brochothrix_thermosphacta.tar.gz
Bacteria,Brucella anthropi,wget https://gmpsdb.cn/api/download/bacteria/5042/download/ -O BACTERIA_Brucella_anthropi.tar.gz
Bacteria,Brucella intermedia,wget https://gmpsdb.cn/api/download/bacteria/5043/download/ -O BACTERIA_Brucella_intermedia.tar.gz
Bacteria,Bulleidia extructa,wget https://gmpsdb.cn/api/download/bacteria/5044/download/ -O BACTERIA_Bulleidia_extructa.tar.gz
Bacteria,Burkholderia cepacia,wget https://gmpsdb.cn/api/download/bacteria/5045/download/ -O BACTERIA_Burkholderia_cepacia.tar.gz
Bacteria,Burkholderiales bacterium,wget https://gmpsdb.cn/api/download/bacteria/5046/download/ -O BACTERIA_Burkholderiales_bacterium.tar.gz
Bacteria,Butyricicoccus faecihominis,wget https://gmpsdb.cn/api/download/bacteria/5047/download/ -O BACTERIA_Butyricicoccus_faecihominis.tar.gz
Bacteria,Butyricicoccus pullicaecorum,wget https://gmpsdb.cn/api/download/bacteria/5048/download/ -O BACTERIA_Butyricicoccus_pullicaecorum.tar.gz
Bacteria,Butyricicoccus sp. AF22-28AC,wget https://gmpsdb.cn/api/download/bacteria/5049/download/ -O BACTERIA_Butyricicoccus_sp._AF22-28AC.tar.gz
Bacteria,Butyricimonas faecihominis,wget https://gmpsdb.cn/api/download/bacteria/5050/download/ -O BACTERIA_Butyricimonas_faecihominis.tar.gz
Bacteria,Butyricimonas paravirosa,wget https://gmpsdb.cn/api/download/bacteria/5051/download/ -O BACTERIA_Butyricimonas_paravirosa.tar.gz
Bacteria,Butyricimonas sp. Marseille-P2440,wget https://gmpsdb.cn/api/download/bacteria/5052/download/ -O BACTERIA_Butyricimonas_sp._Marseille-P2440.tar.gz
Bacteria,Butyricimonas synergistica,wget https://gmpsdb.cn/api/download/bacteria/5053/download/ -O BACTERIA_Butyricimonas_synergistica.tar.gz
Bacteria,Butyricimonas virosa,wget https://gmpsdb.cn/api/download/bacteria/5054/download/ -O BACTERIA_Butyricimonas_virosa.tar.gz
Bacteria,Butyrivibrio crossotus,wget https://gmpsdb.cn/api/download/bacteria/5055/download/ -O BACTERIA_Butyrivibrio_crossotus.tar.gz
Bacteria,Butyrivibrio fibrisolvens,wget https://gmpsdb.cn/api/download/bacteria/5056/download/ -O BACTERIA_Butyrivibrio_fibrisolvens.tar.gz
Bacteria,Campylobacter coli,wget https://gmpsdb.cn/api/download/bacteria/5057/download/ -O BACTERIA_Campylobacter_coli.tar.gz
Bacteria,Campylobacter concisus,wget https://gmpsdb.cn/api/download/bacteria/5058/download/ -O BACTERIA_Campylobacter_concisus.tar.gz
Bacteria,Campylobacter curvus,wget https://gmpsdb.cn/api/download/bacteria/5059/download/ -O BACTERIA_Campylobacter_curvus.tar.gz
Bacteria,Campylobacter fetus,wget https://gmpsdb.cn/api/download/bacteria/5060/download/ -O BACTERIA_Campylobacter_fetus.tar.gz
Bacteria,Campylobacter gracilis,wget https://gmpsdb.cn/api/download/bacteria/5061/download/ -O BACTERIA_Campylobacter_gracilis.tar.gz
Bacteria,Campylobacter hominis,wget https://gmpsdb.cn/api/download/bacteria/5062/download/ -O BACTERIA_Campylobacter_hominis.tar.gz
Bacteria,Campylobacter hyointestinalis,wget https://gmpsdb.cn/api/download/bacteria/5063/download/ -O BACTERIA_Campylobacter_hyointestinalis.tar.gz
Bacteria,Campylobacter jejuni,wget https://gmpsdb.cn/api/download/bacteria/5064/download/ -O BACTERIA_Campylobacter_jejuni.tar.gz
Bacteria,Campylobacter lanienae NCTC 13004,wget https://gmpsdb.cn/api/download/bacteria/5065/download/ -O BACTERIA_Campylobacter_lanienae_NCTC_13004.tar.gz
Bacteria,Campylobacter lari,wget https://gmpsdb.cn/api/download/bacteria/5066/download/ -O BACTERIA_Campylobacter_lari.tar.gz
Bacteria,Campylobacter rectus,wget https://gmpsdb.cn/api/download/bacteria/5067/download/ -O BACTERIA_Campylobacter_rectus.tar.gz
Bacteria,Campylobacter showae,wget https://gmpsdb.cn/api/download/bacteria/5068/download/ -O BACTERIA_Campylobacter_showae.tar.gz
Bacteria,Campylobacter sp. 10_1_50,wget https://gmpsdb.cn/api/download/bacteria/5069/download/ -O BACTERIA_Campylobacter_sp._10_1_50.tar.gz
Bacteria,Campylobacter upsaliensis,wget https://gmpsdb.cn/api/download/bacteria/5070/download/ -O BACTERIA_Campylobacter_upsaliensis.tar.gz
Bacteria,Campylobacter ureolyticus,wget https://gmpsdb.cn/api/download/bacteria/5071/download/ -O BACTERIA_Campylobacter_ureolyticus.tar.gz
Bacteria,Candidatus Blastococcus massiliensis AP3,wget https://gmpsdb.cn/api/download/bacteria/5072/download/ -O BACTERIA_Candidatus_Blastococcus_massiliensis_AP3.tar.gz
Bacteria,Candidatus Stoquefichus massiliensis,wget https://gmpsdb.cn/api/download/bacteria/5073/download/ -O BACTERIA_Candidatus_Stoquefichus_massiliensis.tar.gz
Bacteria,Capnocytophaga granulosa,wget https://gmpsdb.cn/api/download/bacteria/5074/download/ -O BACTERIA_Capnocytophaga_granulosa.tar.gz
Bacteria,Capnocytophaga ochracea,wget https://gmpsdb.cn/api/download/bacteria/5075/download/ -O BACTERIA_Capnocytophaga_ochracea.tar.gz
Bacteria,Capnocytophaga sputigena,wget https://gmpsdb.cn/api/download/bacteria/5076/download/ -O BACTERIA_Capnocytophaga_sputigena.tar.gz
Bacteria,Cardiobacterium valvarum F0432,wget https://gmpsdb.cn/api/download/bacteria/5077/download/ -O BACTERIA_Cardiobacterium_valvarum_F0432.tar.gz
Bacteria,Catenibacillus scindens,wget https://gmpsdb.cn/api/download/bacteria/5078/download/ -O BACTERIA_Catenibacillus_scindens.tar.gz
Bacteria,Catenibacterium mitsuokai,wget https://gmpsdb.cn/api/download/bacteria/5079/download/ -O BACTERIA_Catenibacterium_mitsuokai.tar.gz
Bacteria,Cedecea davisae,wget https://gmpsdb.cn/api/download/bacteria/5080/download/ -O BACTERIA_Cedecea_davisae.tar.gz
Bacteria,Cellulomonas massiliensis,wget https://gmpsdb.cn/api/download/bacteria/5081/download/ -O BACTERIA_Cellulomonas_massiliensis.tar.gz
Bacteria,Cellulomonas timonensis,wget https://gmpsdb.cn/api/download/bacteria/5082/download/ -O BACTERIA_Cellulomonas_timonensis.tar.gz
Bacteria,Cellulosimicrobium cellulans,wget https://gmpsdb.cn/api/download/bacteria/5083/download/ -O BACTERIA_Cellulosimicrobium_cellulans.tar.gz
Bacteria,Cetobacterium somerae,wget https://gmpsdb.cn/api/download/bacteria/5084/download/ -O BACTERIA_Cetobacterium_somerae.tar.gz
Bacteria,Christensenella minuta,wget https://gmpsdb.cn/api/download/bacteria/5085/download/ -O BACTERIA_Christensenella_minuta.tar.gz
Bacteria,Christensenella timonensis,wget https://gmpsdb.cn/api/download/bacteria/5086/download/ -O BACTERIA_Christensenella_timonensis.tar.gz
Bacteria,Citrobacter amalonaticus,wget https://gmpsdb.cn/api/download/bacteria/5087/download/ -O BACTERIA_Citrobacter_amalonaticus.tar.gz
Bacteria,Citrobacter farmeri,wget https://gmpsdb.cn/api/download/bacteria/5088/download/ -O BACTERIA_Citrobacter_farmeri.tar.gz
Bacteria,Citrobacter freundii,wget https://gmpsdb.cn/api/download/bacteria/5089/download/ -O BACTERIA_Citrobacter_freundii.tar.gz
Bacteria,Citrobacter koseri,wget https://gmpsdb.cn/api/download/bacteria/5090/download/ -O BACTERIA_Citrobacter_koseri.tar.gz
Bacteria,Citrobacter portucalensis,wget https://gmpsdb.cn/api/download/bacteria/5091/download/ -O BACTERIA_Citrobacter_portucalensis.tar.gz
Bacteria,Citrobacter rodentium,wget https://gmpsdb.cn/api/download/bacteria/5092/download/ -O BACTERIA_Citrobacter_rodentium.tar.gz
Bacteria,Citrobacter sedlakii,wget https://gmpsdb.cn/api/download/bacteria/5093/download/ -O BACTERIA_Citrobacter_sedlakii.tar.gz
Bacteria,Citrobacter werkmanii,wget https://gmpsdb.cn/api/download/bacteria/5094/download/ -O BACTERIA_Citrobacter_werkmanii.tar.gz
Bacteria,Citrobacter youngae,wget https://gmpsdb.cn/api/download/bacteria/5095/download/ -O BACTERIA_Citrobacter_youngae.tar.gz
Bacteria,Cloacibacillus evryensis,wget https://gmpsdb.cn/api/download/bacteria/5096/download/ -O BACTERIA_Cloacibacillus_evryensis.tar.gz
Bacteria,Clostridiales bacterium VE202-03,wget https://gmpsdb.cn/api/download/bacteria/5097/download/ -O BACTERIA_Clostridiales_bacterium_VE202-03.tar.gz
Bacteria,Clostridiales bacterium VE202-14,wget https://gmpsdb.cn/api/download/bacteria/5098/download/ -O BACTERIA_Clostridiales_bacterium_VE202-14.tar.gz
Bacteria,Clostridiales bacterium VE202-27,wget https://gmpsdb.cn/api/download/bacteria/5099/download/ -O BACTERIA_Clostridiales_bacterium_VE202-27.tar.gz
Bacteria,Clostridioides difficile,wget https://gmpsdb.cn/api/download/bacteria/5100/download/ -O BACTERIA_Clostridioides_difficile.tar.gz
Bacteria,Clostridium acetobutylicum,wget https://gmpsdb.cn/api/download/bacteria/5101/download/ -O BACTERIA_Clostridium_acetobutylicum.tar.gz
Bacteria,Clostridium amazonitimonense,wget https://gmpsdb.cn/api/download/bacteria/5102/download/ -O BACTERIA_Clostridium_amazonitimonense.tar.gz
Bacteria,Clostridium baratii,wget https://gmpsdb.cn/api/download/bacteria/5103/download/ -O BACTERIA_Clostridium_baratii.tar.gz
Bacteria,Clostridium beijerinckii,wget https://gmpsdb.cn/api/download/bacteria/5104/download/ -O BACTERIA_Clostridium_beijerinckii.tar.gz
Bacteria,Clostridium botulinum,wget https://gmpsdb.cn/api/download/bacteria/5105/download/ -O BACTERIA_Clostridium_botulinum.tar.gz
Bacteria,Clostridium butyricum,wget https://gmpsdb.cn/api/download/bacteria/5106/download/ -O BACTERIA_Clostridium_butyricum.tar.gz
Bacteria,Clostridium cadaveris,wget https://gmpsdb.cn/api/download/bacteria/5107/download/ -O BACTERIA_Clostridium_cadaveris.tar.gz
Bacteria,Clostridium celatum,wget https://gmpsdb.cn/api/download/bacteria/5108/download/ -O BACTERIA_Clostridium_celatum.tar.gz
Bacteria,Clostridium dakarense,wget https://gmpsdb.cn/api/download/bacteria/5109/download/ -O BACTERIA_Clostridium_dakarense.tar.gz
Bacteria,Clostridium disporicum,wget https://gmpsdb.cn/api/download/bacteria/5110/download/ -O BACTERIA_Clostridium_disporicum.tar.gz
Bacteria,Clostridium hylemonae,wget https://gmpsdb.cn/api/download/bacteria/5111/download/ -O BACTERIA_Clostridium_hylemonae.tar.gz
Bacteria,Clostridium ihumii AP5,wget https://gmpsdb.cn/api/download/bacteria/5112/download/ -O BACTERIA_Clostridium_ihumii_AP5.tar.gz
Bacteria,Clostridium innocuum,wget https://gmpsdb.cn/api/download/bacteria/5113/download/ -O BACTERIA_Clostridium_innocuum.tar.gz
Bacteria,Clostridium jeddahense,wget https://gmpsdb.cn/api/download/bacteria/5114/download/ -O BACTERIA_Clostridium_jeddahense.tar.gz
Bacteria,Clostridium leptum,wget https://gmpsdb.cn/api/download/bacteria/5115/download/ -O BACTERIA_Clostridium_leptum.tar.gz
Bacteria,Clostridium massiliamazoniense,wget https://gmpsdb.cn/api/download/bacteria/5116/download/ -O BACTERIA_Clostridium_massiliamazoniense.tar.gz
Bacteria,Clostridium massiliodielmoense,wget https://gmpsdb.cn/api/download/bacteria/5117/download/ -O BACTERIA_Clostridium_massiliodielmoense.tar.gz
Bacteria,Clostridium mediterraneense,wget https://gmpsdb.cn/api/download/bacteria/5118/download/ -O BACTERIA_Clostridium_mediterraneense.tar.gz
Bacteria,Clostridium merdae,wget https://gmpsdb.cn/api/download/bacteria/5119/download/ -O BACTERIA_Clostridium_merdae.tar.gz
Bacteria,Clostridium methoxybenzovorans,wget https://gmpsdb.cn/api/download/bacteria/5120/download/ -O BACTERIA_Clostridium_methoxybenzovorans.tar.gz
Bacteria,Clostridium methylpentosum,wget https://gmpsdb.cn/api/download/bacteria/5121/download/ -O BACTERIA_Clostridium_methylpentosum.tar.gz
Bacteria,Clostridium niameyense,wget https://gmpsdb.cn/api/download/bacteria/5122/download/ -O BACTERIA_Clostridium_niameyense.tar.gz
Bacteria,Clostridium paraputrificum,wget https://gmpsdb.cn/api/download/bacteria/5123/download/ -O BACTERIA_Clostridium_paraputrificum.tar.gz
Bacteria,Clostridium perfringens,wget https://gmpsdb.cn/api/download/bacteria/5124/download/ -O BACTERIA_Clostridium_perfringens.tar.gz
Bacteria,Clostridium phoceensis,wget https://gmpsdb.cn/api/download/bacteria/5125/download/ -O BACTERIA_Clostridium_phoceensis.tar.gz
Bacteria,Clostridium polynesiense,wget https://gmpsdb.cn/api/download/bacteria/5126/download/ -O BACTERIA_Clostridium_polynesiense.tar.gz
Bacteria,Clostridium saccharogumia,wget https://gmpsdb.cn/api/download/bacteria/5127/download/ -O BACTERIA_Clostridium_saccharogumia.tar.gz
Bacteria,Clostridium saccharoperbutylacetonicum,wget https://gmpsdb.cn/api/download/bacteria/5128/download/ -O BACTERIA_Clostridium_saccharoperbutylacetonicum.tar.gz
Bacteria,Clostridium sartagoforme,wget https://gmpsdb.cn/api/download/bacteria/5129/download/ -O BACTERIA_Clostridium_sartagoforme.tar.gz
Bacteria,Clostridium saudiense,wget https://gmpsdb.cn/api/download/bacteria/5130/download/ -O BACTERIA_Clostridium_saudiense.tar.gz
Bacteria,Clostridium scindens,wget https://gmpsdb.cn/api/download/bacteria/5131/download/ -O BACTERIA_Clostridium_scindens.tar.gz
Bacteria,Clostridium senegalense JC122,wget https://gmpsdb.cn/api/download/bacteria/5132/download/ -O BACTERIA_Clostridium_senegalense_JC122.tar.gz
Bacteria,Clostridium septicum,wget https://gmpsdb.cn/api/download/bacteria/5133/download/ -O BACTERIA_Clostridium_septicum.tar.gz
Bacteria,Clostridium sp. 7_2_43FAA,wget https://gmpsdb.cn/api/download/bacteria/5134/download/ -O BACTERIA_Clostridium_sp._7_2_43FAA.tar.gz
Bacteria,Clostridium sp. AF15-17LB,wget https://gmpsdb.cn/api/download/bacteria/5135/download/ -O BACTERIA_Clostridium_sp._AF15-17LB.tar.gz
Bacteria,Clostridium sp. AF18-27,wget https://gmpsdb.cn/api/download/bacteria/5136/download/ -O BACTERIA_Clostridium_sp._AF18-27.tar.gz
Bacteria,Clostridium sp. AF19-22AC,wget https://gmpsdb.cn/api/download/bacteria/5137/download/ -O BACTERIA_Clostridium_sp._AF19-22AC.tar.gz
Bacteria,Clostridium sp. ATCC 29733,wget https://gmpsdb.cn/api/download/bacteria/5138/download/ -O BACTERIA_Clostridium_sp._ATCC_29733.tar.gz
Bacteria,Clostridium sp. D5,wget https://gmpsdb.cn/api/download/bacteria/5139/download/ -O BACTERIA_Clostridium_sp._D5.tar.gz
Bacteria,Clostridium sp. L2-50,wget https://gmpsdb.cn/api/download/bacteria/5140/download/ -O BACTERIA_Clostridium_sp._L2-50.tar.gz
Bacteria,Clostridium sp. M62/1,wget https://gmpsdb.cn/api/download/bacteria/5141/download/ -O BACTERIA_Clostridium_sp._M62_1.tar.gz
Bacteria,Clostridium sp. SS2/1,wget https://gmpsdb.cn/api/download/bacteria/5142/download/ -O BACTERIA_Clostridium_sp._SS2_1.tar.gz
Bacteria,Clostridium sp. SY8519,wget https://gmpsdb.cn/api/download/bacteria/5143/download/ -O BACTERIA_Clostridium_sp._SY8519.tar.gz
Bacteria,Clostridium spiroforme,wget https://gmpsdb.cn/api/download/bacteria/5144/download/ -O BACTERIA_Clostridium_spiroforme.tar.gz
Bacteria,Clostridium sporogenes,wget https://gmpsdb.cn/api/download/bacteria/5145/download/ -O BACTERIA_Clostridium_sporogenes.tar.gz
Bacteria,Clostridium sporosphaeroides,wget https://gmpsdb.cn/api/download/bacteria/5146/download/ -O BACTERIA_Clostridium_sporosphaeroides.tar.gz
Bacteria,Clostridium symbiosum,wget https://gmpsdb.cn/api/download/bacteria/5147/download/ -O BACTERIA_Clostridium_symbiosum.tar.gz
Bacteria,Clostridium tertium,wget https://gmpsdb.cn/api/download/bacteria/5148/download/ -O BACTERIA_Clostridium_tertium.tar.gz
Bacteria,Clostridium tetani,wget https://gmpsdb.cn/api/download/bacteria/5149/download/ -O BACTERIA_Clostridium_tetani.tar.gz
Bacteria,Clostridium tyrobutyricum,wget https://gmpsdb.cn/api/download/bacteria/5150/download/ -O BACTERIA_Clostridium_tyrobutyricum.tar.gz
Bacteria,Clostridium ventriculi,wget https://gmpsdb.cn/api/download/bacteria/5151/download/ -O BACTERIA_Clostridium_ventriculi.tar.gz
Bacteria,Clostridium viride,wget https://gmpsdb.cn/api/download/bacteria/5152/download/ -O BACTERIA_Clostridium_viride.tar.gz
Bacteria,Colibacter massiliensis,wget https://gmpsdb.cn/api/download/bacteria/5153/download/ -O BACTERIA_Colibacter_massiliensis.tar.gz
Bacteria,Collinsella aerofaciens,wget https://gmpsdb.cn/api/download/bacteria/5154/download/ -O BACTERIA_Collinsella_aerofaciens.tar.gz
Bacteria,Collinsella ihumii,wget https://gmpsdb.cn/api/download/bacteria/5155/download/ -O BACTERIA_Collinsella_ihumii.tar.gz
Bacteria,Collinsella intestinalis,wget https://gmpsdb.cn/api/download/bacteria/5156/download/ -O BACTERIA_Collinsella_intestinalis.tar.gz
Bacteria,Collinsella massiliensis,wget https://gmpsdb.cn/api/download/bacteria/5157/download/ -O BACTERIA_Collinsella_massiliensis.tar.gz
Bacteria,Collinsella sp. BIOML-A6,wget https://gmpsdb.cn/api/download/bacteria/5158/download/ -O BACTERIA_Collinsella_sp._BIOML-A6.tar.gz
Bacteria,Collinsella stercoris,wget https://gmpsdb.cn/api/download/bacteria/5159/download/ -O BACTERIA_Collinsella_stercoris.tar.gz
Bacteria,Collinsella tanakaei,wget https://gmpsdb.cn/api/download/bacteria/5160/download/ -O BACTERIA_Collinsella_tanakaei.tar.gz
Bacteria,Coprobacillus cateniformis,wget https://gmpsdb.cn/api/download/bacteria/5161/download/ -O BACTERIA_Coprobacillus_cateniformis.tar.gz
Bacteria,Coprobacillus sp. D7,wget https://gmpsdb.cn/api/download/bacteria/5162/download/ -O BACTERIA_Coprobacillus_sp._D7.tar.gz
Bacteria,Coprobacter fastidiosus,wget https://gmpsdb.cn/api/download/bacteria/5163/download/ -O BACTERIA_Coprobacter_fastidiosus.tar.gz
Bacteria,Coprococcus catus,wget https://gmpsdb.cn/api/download/bacteria/5164/download/ -O BACTERIA_Coprococcus_catus.tar.gz
Bacteria,Coprococcus comes,wget https://gmpsdb.cn/api/download/bacteria/5165/download/ -O BACTERIA_Coprococcus_comes.tar.gz
Bacteria,Coprococcus eutactus,wget https://gmpsdb.cn/api/download/bacteria/5166/download/ -O BACTERIA_Coprococcus_eutactus.tar.gz
Bacteria,Coprococcus sp. AM14-16,wget https://gmpsdb.cn/api/download/bacteria/5167/download/ -O BACTERIA_Coprococcus_sp._AM14-16.tar.gz
Bacteria,Coprococcus sp. HPP0074,wget https://gmpsdb.cn/api/download/bacteria/5168/download/ -O BACTERIA_Coprococcus_sp._HPP0074.tar.gz
Bacteria,Corynebacterium ammoniagenes,wget https://gmpsdb.cn/api/download/bacteria/5169/download/ -O BACTERIA_Corynebacterium_ammoniagenes.tar.gz
Bacteria,Corynebacterium amycolatum,wget https://gmpsdb.cn/api/download/bacteria/5170/download/ -O BACTERIA_Corynebacterium_amycolatum.tar.gz
Bacteria,Corynebacterium aurimucosum,wget https://gmpsdb.cn/api/download/bacteria/5171/download/ -O BACTERIA_Corynebacterium_aurimucosum.tar.gz
Bacteria,Corynebacterium bouchesdurhonense,wget https://gmpsdb.cn/api/download/bacteria/5172/download/ -O BACTERIA_Corynebacterium_bouchesdurhonense.tar.gz
Bacteria,Corynebacterium durum,wget https://gmpsdb.cn/api/download/bacteria/5173/download/ -O BACTERIA_Corynebacterium_durum.tar.gz
Bacteria,Corynebacterium glucuronolyticum,wget https://gmpsdb.cn/api/download/bacteria/5174/download/ -O BACTERIA_Corynebacterium_glucuronolyticum.tar.gz
Bacteria,Corynebacterium ihumii,wget https://gmpsdb.cn/api/download/bacteria/5175/download/ -O BACTERIA_Corynebacterium_ihumii.tar.gz
Bacteria,Corynebacterium jeddahense,wget https://gmpsdb.cn/api/download/bacteria/5176/download/ -O BACTERIA_Corynebacterium_jeddahense.tar.gz
Bacteria,Corynebacterium kroppenstedtii,wget https://gmpsdb.cn/api/download/bacteria/5177/download/ -O BACTERIA_Corynebacterium_kroppenstedtii.tar.gz
Bacteria,Corynebacterium pacaense,wget https://gmpsdb.cn/api/download/bacteria/5178/download/ -O BACTERIA_Corynebacterium_pacaense.tar.gz
Bacteria,Corynebacterium phoceense,wget https://gmpsdb.cn/api/download/bacteria/5179/download/ -O BACTERIA_Corynebacterium_phoceense.tar.gz
Bacteria,Corynebacterium propinquum,wget https://gmpsdb.cn/api/download/bacteria/5180/download/ -O BACTERIA_Corynebacterium_propinquum.tar.gz
Bacteria,Corynebacterium provencense,wget https://gmpsdb.cn/api/download/bacteria/5181/download/ -O BACTERIA_Corynebacterium_provencense.tar.gz
Bacteria,Corynebacterium sp. HFH0082,wget https://gmpsdb.cn/api/download/bacteria/5182/download/ -O BACTERIA_Corynebacterium_sp._HFH0082.tar.gz
Bacteria,Corynebacterium striatum,wget https://gmpsdb.cn/api/download/bacteria/5183/download/ -O BACTERIA_Corynebacterium_striatum.tar.gz
Bacteria,Corynebacterium tuberculostearicum,wget https://gmpsdb.cn/api/download/bacteria/5184/download/ -O BACTERIA_Corynebacterium_tuberculostearicum.tar.gz
Bacteria,Corynebacterium ulcerans,wget https://gmpsdb.cn/api/download/bacteria/5185/download/ -O BACTERIA_Corynebacterium_ulcerans.tar.gz
Bacteria,Cronobacter malonaticus,wget https://gmpsdb.cn/api/download/bacteria/5186/download/ -O BACTERIA_Cronobacter_malonaticus.tar.gz
Bacteria,Cronobacter sakazakii,wget https://gmpsdb.cn/api/download/bacteria/5187/download/ -O BACTERIA_Cronobacter_sakazakii.tar.gz
Bacteria,Cryptobacterium curtum,wget https://gmpsdb.cn/api/download/bacteria/5188/download/ -O BACTERIA_Cryptobacterium_curtum.tar.gz
Bacteria,Culturomica massiliensis,wget https://gmpsdb.cn/api/download/bacteria/5189/download/ -O BACTERIA_Culturomica_massiliensis.tar.gz
Bacteria,Curtobacterium flaccumfaciens,wget https://gmpsdb.cn/api/download/bacteria/5190/download/ -O BACTERIA_Curtobacterium_flaccumfaciens.tar.gz
Bacteria,Cutibacterium acnes,wget https://gmpsdb.cn/api/download/bacteria/5191/download/ -O BACTERIA_Cutibacterium_acnes.tar.gz
Bacteria,Cytobacillus firmus,wget https://gmpsdb.cn/api/download/bacteria/5192/download/ -O BACTERIA_Cytobacillus_firmus.tar.gz
Bacteria,Dakarella massiliensis,wget https://gmpsdb.cn/api/download/bacteria/5193/download/ -O BACTERIA_Dakarella_massiliensis.tar.gz
Bacteria,Delftia acidovorans,wget https://gmpsdb.cn/api/download/bacteria/5194/download/ -O BACTERIA_Delftia_acidovorans.tar.gz
Bacteria,Dermabacter sp. HFH0086,wget https://gmpsdb.cn/api/download/bacteria/5195/download/ -O BACTERIA_Dermabacter_sp._HFH0086.tar.gz
Bacteria,Desulfitobacterium hafniense,wget https://gmpsdb.cn/api/download/bacteria/5196/download/ -O BACTERIA_Desulfitobacterium_hafniense.tar.gz
Bacteria,Desulfovibrio desulfuricans,wget https://gmpsdb.cn/api/download/bacteria/5197/download/ -O BACTERIA_Desulfovibrio_desulfuricans.tar.gz
Bacteria,Desulfovibrio piger,wget https://gmpsdb.cn/api/download/bacteria/5198/download/ -O BACTERIA_Desulfovibrio_piger.tar.gz
Bacteria,Desulfovibrio sp. 3_1_syn3,wget https://gmpsdb.cn/api/download/bacteria/5199/download/ -O BACTERIA_Desulfovibrio_sp._3_1_syn3.tar.gz
