Index,Bacteria/Host species,Download link
Bacteria,Alistipes communis,wget https://gmpsdb.cn/api/download/bacteria/4882/download/ -O BACTERIA_Alistipes_communis.tar.gz
Bacteria,Alistipes finegoldii,wget https://gmpsdb.cn/api/download/bacteria/4883/download/ -O BACTERIA_Alistipes_finegoldii.tar.gz
Bacteria,Alistipes ihumii,wget https://gmpsdb.cn/api/download/bacteria/4884/download/ -O BACTERIA_Alistipes_ihumii.tar.gz
Bacteria,Alistipes indistinctus,wget https://gmpsdb.cn/api/download/bacteria/4885/download/ -O BACTERIA_Alistipes_indistinctus.tar.gz
Bacteria,Alistipes inops,wget https://gmpsdb.cn/api/download/bacteria/4886/download/ -O BACTERIA_Alistipes_inops.tar.gz
Bacteria,Alistipes onderdonkii,wget https://gmpsdb.cn/api/download/bacteria/4887/download/ -O BACTERIA_Alistipes_onderdonkii.tar.gz
Bacteria,Alistipes provencensis,wget https://gmpsdb.cn/api/download/bacteria/4888/download/ -O BACTERIA_Alistipes_provencensis.tar.gz
Bacteria,Alistipes putredinis,wget https://gmpsdb.cn/api/download/bacteria/4889/download/ -O BACTERIA_Alistipes_putredinis.tar.gz
Bacteria,Alistipes senegalensis,wget https://gmpsdb.cn/api/download/bacteria/4890/download/ -O BACTERIA_Alistipes_senegalensis.tar.gz
Bacteria,Alistipes shahii,wget https://gmpsdb.cn/api/download/bacteria/4891/download/ -O BACTERIA_Alistipes_shahii.tar.gz
Bacteria,Alistipes timonensis,wget https://gmpsdb.cn/api/download/bacteria/4892/download/ -O BACTERIA_Alistipes_timonensis.tar.gz
Bacteria,Alkalihalobacillus alcalophilus,wget https://gmpsdb.cn/api/download/bacteria/4893/download/ -O BACTERIA_Alkalihalobacillus_alcalophilus.tar.gz
Bacteria,Alkalihalobacillus clausii,wget https://gmpsdb.cn/api/download/bacteria/4894/download/ -O BACTERIA_Alkalihalobacillus_clausii.tar.gz
Bacteria,Alkalihalophilus pseudofirmus,wget https://gmpsdb.cn/api/download/bacteria/4895/download/ -O BACTERIA_Alkalihalophilus_pseudofirmus.tar.gz
Bacteria,Alloprevotella tannerae,wget https://gmpsdb.cn/api/download/bacteria/4896/download/ -O BACTERIA_Alloprevotella_tannerae.tar.gz
Bacteria,Amedibacillus dolichus,wget https://gmpsdb.cn/api/download/bacteria/4897/download/ -O BACTERIA_Amedibacillus_dolichus.tar.gz
Bacteria,Amedibacterium intestinale,wget https://gmpsdb.cn/api/download/bacteria/4898/download/ -O BACTERIA_Amedibacterium_intestinale.tar.gz
Bacteria,Anaerobiospirillum succiniciproducens,wget https://gmpsdb.cn/api/download/bacteria/4899/download/ -O BACTERIA_Anaerobiospirillum_succiniciproducens.tar.gz
Bacteria,Anaerobiospirillum thomasii,wget https://gmpsdb.cn/api/download/bacteria/4900/download/ -O BACTERIA_Anaerobiospirillum_thomasii.tar.gz
Bacteria,Anaerobutyricum hallii,wget https://gmpsdb.cn/api/download/bacteria/4901/download/ -O BACTERIA_Anaerobutyricum_hallii.tar.gz
Bacteria,Anaerococcus hydrogenalis,wget https://gmpsdb.cn/api/download/bacteria/4902/download/ -O BACTERIA_Anaerococcus_hydrogenalis.tar.gz
Bacteria,Anaerococcus jeddahensis,wget https://gmpsdb.cn/api/download/bacteria/4903/download/ -O BACTERIA_Anaerococcus_jeddahensis.tar.gz
Bacteria,Anaerococcus nagyae,wget https://gmpsdb.cn/api/download/bacteria/4904/download/ -O BACTERIA_Anaerococcus_nagyae.tar.gz
Bacteria,Anaerococcus obesiensis ph10,wget https://gmpsdb.cn/api/download/bacteria/4905/download/ -O BACTERIA_Anaerococcus_obesiensis_ph10.tar.gz
Bacteria,Anaerococcus prevotii,wget https://gmpsdb.cn/api/download/bacteria/4906/download/ -O BACTERIA_Anaerococcus_prevotii.tar.gz
Bacteria,Anaerococcus rubeinfantis,wget https://gmpsdb.cn/api/download/bacteria/4907/download/ -O BACTERIA_Anaerococcus_rubeinfantis.tar.gz
Bacteria,Anaerococcus senegalensis,wget https://gmpsdb.cn/api/download/bacteria/4908/download/ -O BACTERIA_Anaerococcus_senegalensis.tar.gz
Bacteria,Anaerococcus vaginalis,wget https://gmpsdb.cn/api/download/bacteria/4909/download/ -O BACTERIA_Anaerococcus_vaginalis.tar.gz
Bacteria,Anaerofustis stercorihominis,wget https://gmpsdb.cn/api/download/bacteria/4910/download/ -O BACTERIA_Anaerofustis_stercorihominis.tar.gz
Bacteria,Anaerosalibacter massiliensis,wget https://gmpsdb.cn/api/download/bacteria/4911/download/ -O BACTERIA_Anaerosalibacter_massiliensis.tar.gz
Bacteria,Anaerostipes caccae,wget https://gmpsdb.cn/api/download/bacteria/4912/download/ -O BACTERIA_Anaerostipes_caccae.tar.gz
Bacteria,Anaerostipes hadrus,wget https://gmpsdb.cn/api/download/bacteria/4913/download/ -O BACTERIA_Anaerostipes_hadrus.tar.gz
Bacteria,Anaerotignum faecicola,wget https://gmpsdb.cn/api/download/bacteria/4914/download/ -O BACTERIA_Anaerotignum_faecicola.tar.gz
Bacteria,Anaerotruncus colihominis,wget https://gmpsdb.cn/api/download/bacteria/4915/download/ -O BACTERIA_Anaerotruncus_colihominis.tar.gz
Bacteria,Anaerotruncus rubiinfantis,wget https://gmpsdb.cn/api/download/bacteria/4916/download/ -O BACTERIA_Anaerotruncus_rubiinfantis.tar.gz
